Date,V
2021-12-01,211.06349182128906
2022-01-01,220.27703857421875
2022-02-01,210.48887634277344
2022-03-01,216.3430938720703
2022-04-01,207.9145050048828
2022-05-01,206.97796630859375
2022-06-01,192.43875122070312
2022-07-01,207.31466674804688
2022-08-01,194.21762084960938
2022-09-01,173.9412384033203
2022-10-01,202.835205078125
2022-11-01,212.4697723388672
2022-12-01,203.87734985351562
2023-01-01,225.90780639648438
2023-02-01,215.82972717285156
2023-03-01,221.679931640625
2023-04-01,228.82801818847656
2023-05-01,217.32418823242188
2023-06-01,233.95359802246094
2023-07-01,234.19992065429688
2023-08-01,242.03182983398438
2023-09-01,227.02059936523438
2023-10-01,232.04446411132812
2023-11-01,253.34397888183594
2023-12-01,257.51336669921875
2024-01-01,270.28271484375
2024-02-01,279.560546875
2024-03-01,276.55401611328125
2024-04-01,266.17877197265625
2024-05-01,269.9939270019531
2024-06-01,260.5757141113281
2024-07-01,263.75262451171875
2024-08-01,274.3753967285156
2024-09-01,273.5130310058594
2024-10-01,288.33514404296875
2024-11-01,313.4332580566406
2024-12-01,314.9859924316406
2025-01-01,340.6600646972656
2025-02-01,361.5003356933594
2025-03-01,349.87890625
2025-04-01,344.9271545410156
2025-05-01,364.5845031738281
2025-06-01,355.04998779296875
