Date,MCD
2021-12-01,247.48609924316406
2022-01-01,239.52796936035156
2022-02-01,225.9751739501953
2022-03-01,229.56239318847656
2022-04-01,231.30770874023438
2022-05-01,234.13917541503906
2022-06-01,229.19102478027344
2022-07-01,245.85459899902344
2022-08-01,235.5021514892578
2022-09-01,216.57371520996094
2022-10-01,255.92001342773438
2022-11-01,256.0420227050781
2022-12-01,248.7435760498047
2023-01-01,252.39649963378906
2023-02-01,249.10231018066406
2023-03-01,265.4452209472656
2023-04-01,280.7675476074219
2023-05-01,270.6665954589844
2023-06-01,283.2928466796875
2023-07-01,279.82427978515625
2023-08-01,268.3240051269531
2023-09-01,252.7736358642578
2023-10-01,251.5550994873047
2023-11-01,270.4286804199219
2023-12-01,286.2093811035156
2024-01-01,282.5510559082031
2024-02-01,282.1263427734375
2024-03-01,273.7036437988281
2024-04-01,265.05426025390625
2024-05-01,251.31809997558594
2024-06-01,247.3865203857422
2024-07-01,259.3103942871094
2024-08-01,282.0367126464844
2024-09-01,297.52301025390625
2024-10-01,287.06829833984375
2024-11-01,290.9010009765625
2024-12-01,284.8866882324219
2025-01-01,285.42388916015625
2025-02-01,304.83111572265625
2025-03-01,308.8252868652344
2025-04-01,317.8472900390625
2025-05-01,312.08001708984375
2025-06-01,290.52227783203125
