Date,WMT
2021-12-01,45.79413604736328
2022-01-01,44.427791595458984
2022-02-01,42.95014572143555
2022-03-01,47.322696685791016
2022-04-01,48.80406188964844
2022-05-01,41.033180236816406
2022-06-01,38.92520523071289
2022-07-01,42.27729034423828
2022-08-01,42.4373779296875
2022-09-01,41.70576858520508
2022-10-01,45.76700210571289
2022-11-01,49.011505126953125
2022-12-01,45.59336853027344
2023-01-01,46.436607360839844
2023-02-01,45.8749885559082
2023-03-01,47.59211730957031
2023-04-01,48.927974700927734
2023-05-01,47.599212646484375
2023-06-01,51.134098052978516
2023-07-01,52.00595474243164
2023-08-01,52.90058517456055
2023-09-01,52.213680267333984
2023-10-01,53.34983444213867
2023-11-01,50.82941436767578
2023-12-01,51.46931076049805
2024-01-01,54.15092849731445
2024-02-01,57.61789321899414
2024-03-01,59.151485443115234
2024-04-01,58.5440788269043
2024-05-01,64.86703491210938
2024-06-01,67.02174377441406
2024-07-01,67.94229125976562
2024-08-01,76.44498443603516
2024-09-01,80.15703582763672
2024-10-01,81.34821319580078
2024-11-01,91.82075500488281
2024-12-01,89.68653869628906
2025-01-01,97.65507507324219
2025-02-01,98.1027603149414
2025-03-01,87.33841705322266
2025-04-01,97.01543426513672
2025-05-01,98.48189544677734
2025-06-01,97.77999877929688
