Date,PG
2021-12-01,149.00967407226562
2022-01-01,146.15846252441406
2022-02-01,142.77139282226562
2022-03-01,139.94140625
2022-04-01,147.0392608642578
2022-05-01,136.19529724121094
2022-06-01,132.42843627929688
2022-07-01,127.93402099609375
2022-08-01,127.86541748046875
2022-09-01,117.02921295166016
2022-10-01,124.83425903320312
2022-11-01,139.24722290039062
2022-12-01,141.4877471923828
2023-01-01,132.9178009033203
2023-02-01,129.2239532470703
2023-03-01,139.67945861816406
2023-04-01,146.90345764160156
2023-05-01,134.70269775390625
2023-06-01,143.43710327148438
2023-07-01,147.74758911132812
2023-08-01,146.81407165527344
2023-09-01,138.7476043701172
2023-10-01,142.71421813964844
2023-11-01,146.95578002929688
2023-12-01,140.27423095703125
2024-01-01,150.4209747314453
2024-02-01,153.1049041748047
2024-03-01,156.29336547851562
2024-04-01,157.20848083496094
2024-05-01,159.52273559570312
2024-06-01,159.89117431640625
2024-07-01,155.8579864501953
2024-08-01,167.30953979492188
2024-09-01,168.92860412597656
2024-10-01,161.10638427734375
2024-11-01,175.86712646484375
2024-12-01,164.47686767578125
2025-01-01,162.84828186035156
2025-02-01,171.58966064453125
2025-03-01,168.21392822265625
2025-04-01,160.46556091308594
2025-05-01,168.73606872558594
2025-06-01,158.2378692626953
