Date,JNJ
2021-12-01,154.24887084960938
2022-01-01,155.348876953125
2022-02-01,148.3880157470703
2022-03-01,160.82896423339844
2022-04-01,163.76007080078125
2022-05-01,162.91610717773438
2022-06-01,162.11814880371094
2022-07-01,159.38742065429688
2022-08-01,147.3502655029297
2022-09-01,150.1975555419922
2022-10-01,159.95263671875
2022-11-01,163.65794372558594
2022-12-01,163.46505737304688
2023-01-01,151.2224884033203
2023-02-01,141.82086181640625
2023-03-01,144.46258544921875
2023-04-01,152.5711212158203
2023-05-01,144.51849365234375
2023-06-01,155.43136596679688
2023-07-01,157.31884765625
2023-08-01,151.82540893554688
2023-09-01,147.31875610351562
2023-10-01,140.3098907470703
2023-11-01,146.2877655029297
2023-12-01,149.44241333007812
2024-01-01,151.50184631347656
2024-02-01,153.86636352539062
2024-03-01,151.97006225585938
2024-04-01,138.90480041503906
2024-05-01,140.90301513671875
2024-06-01,141.548095703125
2024-07-01,152.8692169189453
2024-08-01,160.62649536132812
2024-09-01,158.1376190185547
2024-10-01,155.99087524414062
2024-11-01,151.2582550048828
2024-12-01,142.25204467773438
2025-01-01,149.65875244140625
2025-02-01,162.31802368164062
2025-03-01,164.4303436279297
2025-04-01,154.98135375976562
2025-05-01,153.89071655273438
2025-06-01,152.75
