Date,XOM
2021-12-01,54.0490837097168
2022-01-01,67.0954360961914
2022-02-01,69.26832580566406
2022-03-01,73.76042175292969
2022-04-01,76.13604736328125
2022-05-01,85.73678588867188
2022-06-01,77.26780700683594
2022-07-01,87.4541015625
2022-08-01,86.2450942993164
2022-09-01,79.53994750976562
2022-10-01,100.94859313964844
2022-11-01,101.43141174316406
2022-12-01,101.29290008544922
2023-01-01,106.53661346435547
2023-02-01,100.93474578857422
2023-03-01,101.4800796508789
2023-04-01,109.51258850097656
2023-05-01,94.55802917480469
2023-06-01,100.11106872558594
2023-07-01,100.10173797607422
2023-08-01,103.78880310058594
2023-09-01,110.65316772460938
2023-10-01,99.61419677734375
2023-11-01,96.68740844726562
2023-12-01,94.95040130615234
2024-01-01,97.6380386352539
2024-02-01,99.26200866699219
2024-03-01,111.41837310791016
2024-04-01,113.3641586303711
2024-05-01,112.39606475830078
2024-06-01,111.24110412597656
2024-07-01,114.59416961669922
2024-08-01,113.9660873413086
2024-09-01,114.18226623535156
2024-10-01,113.75366973876953
2024-11-01,114.90308380126953
2024-12-01,105.64335632324219
2025-01-01,104.91661071777344
2025-02-01,109.33601379394531
2025-03-01,117.8446273803711
2025-04-01,104.66600799560547
2025-05-01,101.36640167236328
2025-06-01,107.80000305175781
